Sex,Length,Weight
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Female,120,895
Female,73,330
Male,150,1500
,,
,,
,,
,,
,,
,,
Male,75,320
Male,95,650
Male,130,1000
Male,75,300
Male,75,315
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Female,95,750
Female,75,290
Female,110,950
,70,250
,95,700
,,
,,
,,
,,
,,
Female,95,650
Female,70,250
Male,75,300
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Female,70,250
Female,70,260
Female,70,250
Female,70,250
,,
,,
,,
,,
,75,320
,75,300
,70,250
,70,250
Female,70,260
Female,70,250
Male,75,320
Male,75,300
Male,70,250
Male,70,250
,,
,,
,,
Female,70,250
Female,70,250
Male,70,250
Male,70,265
,,
,,
,,
,150,1600
,150,1450
,80,455
,120,1000
Male,150,1600
Male,150,1450
Male,80,455
,,
,,
Female,70,250
Male,70,250
Male,70,250
,,
,,
,,
,,
Female,70,250
Male,70,250
Male,130,1000
Male,150,2200
,,
,,
,,
,,
,,
,,
,,
,,
Male,120,1000
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Male,80,400
,,
,,
,,
,,
Male,80,415
,,
,,
,85,500
,85,430
,80,350
,80,350
,70,250
,70,250
,70,265
,70,250
Female,85,450
Male,85,500
Male,85,430
,,
,,
,,
Female,70,250
Male,150,1600
,,
,,
,,
,,
,,
,,
,,
,,
,,
Female,70,250
Male,150,1450
,,
,,
,,
,,
,,
,,
,,
Female,70,250
Male,80,455
,80,4.5
,95,550
,95,650
,70,250
,70,250
,75,313
Female,80,4.5
Female,95,550
Male,80,350
Male,80,350
Male,70,250
Male,70,250
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Female,95,650
Female,70,250
Female,70,250
Male,70,265
Male,70,250
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Female,111,1000
Male,94,750
,,
,,
,,
,,
,,
,,
Female,95,750
,,
,130,1000
,,
Male,130,1000
,,
,,
,,
,,
,,
Female,75,290
,,
,,
,,
,150,1500
,70,250
,95,700
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Male,150,1500
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Female,110,950
Male,120,1000
,,
,,
,,
,,
,,
,,
Female,75,313
,,
,,
,,
,,
,,
Male,85,500
,70,250
Female,85,450
,95,700
,,
Male,85,430
,,
,,
,,
,,
Male,70,270
Male,80,400
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Male,120,1000
Male,85,435
,,
,,
,,
,,
Female,80,400
,,
,,
,,
,,
,,
Male,70,280
,,
,,
,,
,,
,,
,,
Male,85,500
Male,80,500
,,
,,
,,
,,
,,
Female,85,585
Male,85,500
Male,85,450
,,
,,
,,
,,
Female,77,300
Female,150,2200
,,
,,
,,
,,
,,
,,
Male,70,250
