7.19,8.055,9.09,10.357,11.725,12.889,13.861,14.757
6.943,7.815,8.854,10.221,11.788,12.99,13.949,14.893
6.689,7.57,8.572,10.013,11.906,13.082,13.999,15.022
6.432,7.345,8.262,9.65,12.138,13.114,13.976,15.146
6.169,7.177,8.017,8.97,12.625,12.967,13.843,15.279
5.884,7.089,8.062,7.857,11.658,12.582,13.571,15.463
5.537,7.045,8.585,9.164,11.41,12.127,13.15,15.795
5.074,6.875,9.486,10.118,11.792,11.875,12.489,16.479
4.462,6.257,10.625,10.5,12.5,13.125,11.25,17.875
3.78,4.956,8.816,10.24,11.25,18.5,13.928,16.916
3.278,3.125,7.501,9.757,11.709,14.375,14.885,16.471
3.173,3.77,6.83,9.345,11.521,13.644,14.869,16.139
